종목명(코드),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자 (005930),"62,150",▼ 450,-0.72%,"6,013,443","373,577","3,679,055"
SK하이닉스 (000660),"299,500","▲ 5,000",+1.70%,"1,643,091","490,941","2,180,367"
삼성바이오로직스 (207940),"1,047,000","▼ 10,000",-0.95%,"25,209","26,340","745,192"
LG에너지솔루션 (373220),"314,500","▼ 7,000",-2.18%,"103,621","32,765","735,930"
KB금융 (105560),"118,600","▲ 1,300",+1.11%,"401,899","47,594","452,414"
현대차 (005380),"214,000","▲ 6,000",+2.88%,"435,574","92,677","438,182"
기아 (000270),"102,200","▲ 1,400",+1.39%,"515,353","52,230","406,421"
NAVER (035420),"246,250","▼ 6,750",-2.67%,"701,977","174,450","390,151"
셀트리온 (068270),"175,300","▼ 3,300",-1.85%,"167,041","29,422","389,913"
두산에너빌리티 (034020),"59,700",▼ 800,-1.32%,"4,185,268","254,896","382,415"
한화에어로스페이스 (012450),"793,000","▼ 13,000",-1.61%,"81,125","65,212","375,059"
신한지주 (055550),"71,000","▲ 1,700",+2.45%,"642,923","45,270","344,701"
HD현대중공업 (329180),"383,500","▼ 4,500",-1.16%,"51,134","19,783","340,445"
삼성물산 (028260),"182,200","▲ 9,900",+5.75%,"682,267","124,487","309,697"
현대모비스 (012330),"313,500","▲ 7,000",+2.28%,"80,979","25,244","287,778"
삼성생명 (032830),"141,000","▲ 9,400",+7.14%,"497,002","70,625","282,000"
하나금융지주 (086790),"95,200","▲ 2,000",+2.15%,"428,351","40,423","271,057"
HMM (011200),"25,350",▼ 100,-0.39%,"806,936","20,377","259,848"
POSCO홀딩스 (005490),"320,000","▼ 1,000",-0.31%,"186,633","59,425","258,985"
카카오 (035720),"57,200","▼ 2,800",-4.67%,"2,171,510","125,587","252,832"
삼성화재 (000810),"517,000","▲ 44,000",+9.30%,"69,699","35,428","237,878"
SK스퀘어 (402340),"177,700","▲ 3,700",+2.13%,"150,703","27,002","235,525"
한국전력 (015760),"36,500",▼ 500,-1.35%,"1,624,108","58,985","234,317"
한화오션 (042660),"76,200","▼ 1,300",-1.68%,"596,002","45,941","233,487"
HD한국조선해양 (009540),"321,000", 0,0.00%,"71,459","23,057","227,182"
메리츠금융지주 (138040),"119,400","▲ 1,100",+0.93%,"108,466","12,976","214,937"
현대로템 (064350),"189,900","▲ 5,100",+2.76%,"635,241","121,169","207,261"
우리금융지주 (316140),"26,450",▲ 600,+2.32%,"1,239,387","32,525","196,415"
LG화학 (051910),"273,250","▲ 1,250",+0.46%,"105,263","28,783","192,894"
SK이노베이션 (096770),"116,300",▲ 200,+0.17%,"85,718","9,971","175,653"
KT&G (033780),"141,400","▲ 5,000",+3.67%,"192,398","27,327","172,596"
기업은행 (024110),"21,600",▲ 600,+2.86%,"892,357","19,161","172,244"
고려아연 (010130),"845,000","▼ 9,000",-1.05%,"5,027","4,246","169,197"
SK (034730),"226,500","▲ 7,000",+3.19%,"155,080","35,165","164,219"
크래프톤 (259960),"344,000","▼ 9,500",-2.69%,"45,192","15,678","163,024"
HD현대일렉트릭 (267260),"445,500","▲ 3,000",+0.68%,"90,761","40,343","160,590"
삼성중공업 (010140),"17,295",▼ 245,-1.40%,"1,910,966","33,096","152,196"
KT (030200),"57,900",▼ 200,-0.34%,"175,043","10,135","145,921"
카카오뱅크 (323410),"30,600",▼ 750,-2.39%,"732,344","22,419","145,959"
삼성SDI (006400),"179,000",▼ 400,-0.22%,"225,281","40,237","144,248"
삼성에스디에스 (018260),"183,800",▼ 200,-0.11%,"212,129","39,121","142,220"
LIG넥스원 (079550),"593,000","▲ 23,000",+4.04%,"70,333","41,556","130,460"
LG (003550),"82,500", 0,0.00%,"143,629","11,958","129,732"
LG전자 (066570),"77,300","▲ 2,000",+2.66%,"1,501,689","118,158","126,500"
미래에셋증권 (006800),"21,500",▼ 450,-2.05%,"1,289,087","27,805","122,618"
SK텔레콤 (017670),"56,700","▲ 1,000",+1.80%,"357,311","20,127","121,786"
하이브 (352820),"271,500",▲ 500,+0.18%,"71,861","19,457","113,085"
현대글로비스 (086280),"148,000","▲ 6,700",+4.74%,"124,608","18,314","111,000"
삼양식품 (003230),"1,473,000","▲ 3,000",+0.20%,"14,418","21,375","110,961"
HD현대 (267250),"139,200","▲ 3,000",+2.20%,"151,587","20,970","109,958"
포스코퓨처엠 (003670),"135,700","▼ 3,300",-2.37%,"226,455","31,188","105,118"
DB손해보험 (005830),"145,400","▲ 6,600",+4.76%,"135,173","19,410","102,943"
삼성전기 (009150),"136,700",▼ 400,-0.29%,"86,298","11,797","102,106"
한화시스템 (272210),"52,800","▼ 1,400",-2.58%,"465,967","25,086","99,749"
카카오페이 (377300),"72,200","▼ 7,400",-9.30%,"2,114,801","155,541","97,251"
대한항공 (003490),"26,250","▲ 1,400",+5.63%,"5,462,520","142,767","96,658"
두산 (000150),"563,000","▲ 4,000",+0.72%,"67,640","38,270","93,029"
효성중공업 (298040),"991,000","▲ 13,000",+1.33%,"26,743","26,182","92,406"
포스코인터내셔널 (047050),"51,800",▲ 300,+0.58%,"132,772","6,844","91,128"
유한양행 (000100),"110,900",▼ 800,-0.72%,"130,913","14,603","88,685"
한국금융지주 (071050),"158,200",▲ 200,+0.13%,"124,958","19,672","88,159"
한미반도체 (042700),"89,900","▼ 5,500",-5.77%,"692,699","62,984","85,686"
한국항공우주 (047810),"85,300",▼ 600,-0.70%,"177,803","15,263","83,146"
HD현대마린솔루션 (443060),"184,200","▼ 4,400",-2.33%,"39,328","7,317","82,575"
한진칼 (180640),"124,000","▲ 1,400",+1.14%,"28,803","3,546","82,785"
아모레퍼시픽 (090430),"138,500","▲ 5,700",+4.29%,"424,301","58,479","81,012"
LS ELECTRIC (010120),"263,500","▼ 2,000",-0.75%,"59,404","15,705","79,050"
현대건설 (000720),"70,300","▼ 1,800",-2.50%,"476,149","33,696","78,283"
SK바이오팜 (326030),"95,800","▼ 2,500",-2.54%,"94,367","9,108","75,024"
코웨이 (021240),"103,300",▲ 800,+0.78%,"98,164","10,097","74,282"
NH투자증권 (005940),"22,800",▲ 150,+0.66%,"442,351","10,051","73,892"
S-Oil (010950),"63,100",▼ 400,-0.63%,"60,629","3,831","71,040"
